n_nodes,elapsed
1,0.00020432472229003906
1,0.00012731552124023438
1,0.00011944770812988281
1,0.00011682510375976562
1,0.00011682510375976562
1,0.00011587142944335938
1,0.00011539459228515625
1,0.00011515617370605469
1,0.00011444091796875
1,0.00011491775512695312
10,0.00012040138244628906
10,0.00012040138244628906
10,0.0001392364501953125
10,0.00016689300537109375
10,0.00015854835510253906
10,0.0002243518829345703
10,0.00015687942504882812
10,0.0004363059997558594
10,0.0001552104949951172
10,0.00013875961303710938
100,0.00022983551025390625
100,0.00017881393432617188
100,0.0002982616424560547
100,0.00018525123596191406
100,0.00019788742065429688
100,0.00015997886657714844
100,0.0001571178436279297
100,0.00015997886657714844
100,0.00015687942504882812
100,0.00016045570373535156
1000,0.0004508495330810547
1000,0.0005028247833251953
1000,0.0007855892181396484
1000,0.0006275177001953125
1000,0.0007469654083251953
1000,0.0006854534149169922
1000,0.0006711483001708984
1000,0.0006413459777832031
1000,0.0006227493286132812
1000,0.0005040168762207031
10000,0.004128217697143555
10000,0.0040531158447265625
10000,0.004049539566040039
10000,0.0042650699615478516
10000,0.004205226898193359
10000,0.004089832305908203
10000,0.004068613052368164
10000,0.004114627838134766
10000,0.0028617382049560547
10000,0.0028798580169677734
100000,0.023050308227539062
100000,0.02806544303894043
100000,0.027882099151611328
100000,0.027977943420410156
100000,0.0280764102935791
100000,0.028931856155395508
100000,0.028841257095336914
100000,0.02852630615234375
100000,0.027892112731933594
100000,0.028294086456298828
1000000,0.2272047996520996
1000000,0.2821989059448242
1000000,0.2876434326171875
1000000,0.28257179260253906
1000000,0.28426384925842285
1000000,0.28428196907043457
1000000,0.2871735095977783
1000000,0.28060126304626465
1000000,0.2835419178009033
1000000,0.28257179260253906
10000000,2.694258213043213
10000000,3.265347957611084
10000000,2.9557924270629883
10000000,2.9131903648376465
10000000,2.9459569454193115
10000000,3.0094001293182373
10000000,2.984443426132202
10000000,2.9776558876037598
10000000,2.9212138652801514
10000000,2.9589333534240723
