elapsed,n_nodes
5.826e-6,1
1.125e-6,1
1.239e-6,1
1.038e-6,1
1.111e-6,1
8.92e-7,1
8.31e-7,1
9.84e-7,1
9.46e-7,1
8.5e-7,1
6.539e-6,10
4.784e-6,10
4.994e-6,10
4.943e-6,10
4.638e-6,10
4.947e-6,10
2.2476e-5,10
4.698e-6,10
4.971e-6,10
5.196e-6,10
9.0027e-5,100
7.5328e-5,100
7.1395e-5,100
7.9843e-5,100
9.5817e-5,100
9.1597e-5,100
9.5383e-5,100
7.4403e-5,100
7.8463e-5,100
8.0657e-5,100
0.000884423,1000
0.000929419,1000
0.000907663,1000
0.000964893,1000
0.001041195,1000
0.000983883,1000
0.001126434,1000
0.001029382,1000
0.000959302,1000
0.001010776,1000
0.0089969,10000
0.007345774,10000
0.004971093,10000
0.004084558,10000
0.003551463,10000
0.003174681,10000
0.002816476,10000
0.002486502,10000
0.002377388,10000
0.002318604,10000
0.026075255,100000
0.021478251,100000
0.021302306,100000
0.021618517,100000
0.020979816,100000
0.021170445,100000
0.021012752,100000
0.023267483,100000
0.021376761,100000
0.020646166,100000
2.155184502,1000000
0.464764106,1000000
1.902457633,1000000
0.493889532,1000000
0.494428796,1000000
0.499835757,1000000
1.005959879,1000000
0.454501418,1000000
0.482538303,1000000
0.594483854,1000000
8.320251566,10000000
10.338423341,10000000
10.411941467,10000000
11.351455625,10000000
10.517982087,10000000
10.027823025,10000000
10.067281734,10000000
10.097916341,10000000
10.507414834,10000000
10.246432865,10000000
